No,業種区分,施設名称,施設所在地,施設ビル名,施設TEL,開設者名,代表者肩書,代表者名,許可番号,許可年月日,前月新許可施設(許可年月日)
1,簡易宿所,miyanomori,北海道札幌市中央区宮の森１条１５丁目４－１,,011-766-6969,株式会社Ｍａｔｔｃｏｍｐａｎｙ,代表取締役,谷口哲也,札保環許可（旅）第13号,2018-07-09,
2,旅館・ホテル,ホテルリソルトリニティ札幌,北海道札幌市中央区大通西５丁目３,,011-242-7700,リソルホテル株式会社,代表取締役,今泉芳親,札保環許可（旅）第24号,2008-03-27,
3,簡易宿所,ＧＬＯＷＬ　大通西６,北海道札幌市中央区大通西６丁目５－１,（旧）中山ビル,,株式会社アウル,代表取締役,谷隆志,札保環許可（旅）第9号,2017-05-31,
4,旅館・ホテル,札幌ビューホテル大通公園,北海道札幌市中央区大通西８丁目１番,,,日本ビューホテル株式会社,代表取締役,遠藤由明,札保環許可（旅）第4号,2017-05-02,
5,旅館・ホテル,ベストウェスタン札幌大通公園,北海道札幌市中央区大通西８丁目２番,,011-208-1311,株式会社フィーノホテルズ,代表取締役,高倉茂,札保環許可（旅）第31号,2018-01-31,
6,簡易宿所,ゲストハウス道中　ＧＵＥＳＴ　ＨＯＵＳＥ　ＯＮ　ＭＹ　ＷＡＹ,北海道札幌市中央区大通西１４丁目３－４５,,,道中プランニング株式会社,代表取締役,巌俊,札保環許可（旅）第26号,2017-02-01,
7,旅館・ホテル,あさ野ホテルビジネス＆ウィークリー　,北海道札幌市中央区大通西１５丁目３番地１９,,011-621-7621,参宮有限会社,代表取締役,今野博文,札中保衛許可（旅）第3号,1992-04-30,
8,旅館・ホテル,ウィークリーホテル　さんでん,北海道札幌市中央区大通西１８丁目２番地１４,,011-613-7550,アイピー北海道エステム株式会社,代表取締役,佐藤博征,札保環許可（旅）第7号,2009-07-09,
9,簡易宿所,Ｗｉｎｓｔｏｎ　ＳＡＰＰＯＲＯ,北海道札幌市中央区大通東９丁目１－３６,２Ｆ,011-312-5882,株式会社アフタースクール,代表取締役,工藤舞人,札保環許可（旅）第20号,2018-09-07,
10,簡易宿所,ホステル大通イースト,北海道札幌市中央区大通東１１丁目２２－３２,,,合同会社リバティア,代表社員,松本拓也,札保環許可（旅）第18号,2018-07-27,
11,旅館・ホテル,東急ステイ札幌,北海道札幌市中央区南１条西１丁目１３－４,,011-222-0109,東急ステイサービス株式会社,代表取締役,小先文三,札保環許可（旅）第1号,2018-04-03,
12,旅館・ホテル,ホテルオークラ札幌,北海道札幌市中央区南１条西５丁目,,011-221-2333,株式会社ホテルオークラ札幌,代表取締役,宮崎誠,札保環許可（旅）第5号,2003-06-13,
13,旅館・ホテル,中殿ホテル,北海道札幌市中央区南１条西７丁目１４番地,,011-231-4717,有限会社中殿旅館,代表取締役,中ノ殿恭子,札中保衛許可（旅）第4号,1985-03-16,
14,旅館・ホテル,札幌クラッセホテル,北海道札幌市中央区南１条西７丁目１番地２,,011-281-3800,株式会社アンビックス,代表取締役,前川二郎,札保環許可（旅）第3号,2001-04-24,
15,簡易宿所,オオドオリバックパッカーズ,北海道札幌市中央区南１条西８丁目６－２,ＳＩＴＹビル　２Ｆ,,ＳＩＴＹビル株式会社,代表取締役,小川義明,札保環許可（旅）第13号,2017-06-27,
16,旅館・ホテル,アパホテル　＜札幌大通公園＞,北海道札幌市中央区南１条西９丁目,,011-261-8111,アパホテル株式会社,代表取締役,元谷芙美子,札保環許可（旅）第11号,2001-07-31,
17,旅館・ホテル,ホテル　ハミルトン　札幌,北海道札幌市中央区南１条西１５丁目１番地２３８,,011-632-0080,株式会社アセント,代表取締役,小林保廣,札保環許可（旅）第9号,2009-02-17,
18,旅館・ホテル,博友会館,北海道札幌市中央区南１条東５丁目１番２４,,011-522-9710,株式会社博友会,代表取締役,藤崎博己,札保環許可（旅）第23号,2011-01-27,
19,旅館・ホテル,ホテルＷＢＦ札幌中央,北海道札幌市中央区南２条西１丁目２番地,,011-290-3000,ＷＢＦリゾート株式会社,代表取締役,近藤康生,札保環許可（旅）第2号,2014-07-09,
20,旅館・ホテル,リッチモンドホテル札幌大通,北海道札幌市中央区南２条西４丁目４－１,,011-208-0055,アールエヌティーホテルズ株式会社,代表取締役,福村正道,札保環許可（旅）第5号,2001-05-25,
21,旅館・ホテル,ネストホテル札幌大通,北海道札幌市中央区南２条西５丁目２６－１,,011-242-1122,ネストホテルジャパン株式会社,代表取締役,河内中,札保環許可（旅）第12号,2013-12-04,
22,旅館・ホテル,ラ・ジェント・ステイ札幌大通,北海道札幌市中央区南２条西５丁目２６－５,,011-200-5507,ＡＢアコモ株式会社,代表取締役,阿部裕二,札保環許可（旅）第9号,2016-07-11,
23,旅館・ホテル,ホテルサンルートニュー札幌,北海道札幌市中央区南２条西６丁目１番地１,,011-251-2511,株式会社相鉄ホテルマネジメント,代表取締役,吉田修,札保環許可（旅）第14号,2000-11-30,
24,旅館・ホテル,ドーミーインＰＲＥＭＩＵＭ札幌,北海道札幌市中央区南２条西６丁目４－１,,011-232-0011,株式会社共立メンテナンス,代表取締役,佐藤充孝,札保環許可（旅）第14号,2002-01-22,
25,旅館・ホテル,アパホテル＜札幌＞,北海道札幌市中央区南２条西７丁目１０番地,,011-281-8111,アパホテル株式会社,代表取締役,元谷芙美子,札保環許可（旅）第16号,2002-10-29,
26,旅館・ホテル,ホテルブーゲンビリア札幌,北海道札幌市中央区南２条西７丁目６番１号,,011-222-1010,株式会社雄飛,代表取締役,髙橋太郎,札保環許可（旅）第10号,2013-02-13,
27,旅館・ホテル,ホテルレオパレス札幌,北海道札幌市中央区南２条西８丁目６－１,,011-272-0555,株式会社レオパレス２１,代表取締役,深山英世,札保環許可（旅）第23号,2017-10-12,
28,旅館・ホテル,札幌プリンスホテル　タワー,北海道札幌市中央区南２条西１１丁目３２９－２,,011-241-1111,株式会社プリンスホテル,代表取締役,小山正彦,札保環許可（旅）第3号,2004-04-05,
29,旅館・ホテル,ホテルハシモト,北海道札幌市中央区南２条東２丁目,,011-231-1123,橋本観光株式会社,代表取締役,橋本吉巧,札中保衛許可（旅）第4号,1992-04-30,
30,簡易宿所,ニコーカプセルホテルリフレ,北海道札幌市中央区南３条西２丁目１４番地,,011-261-0108,株式会社ニコー,代表取締役,晴山徳貴,札中保衛許可（旅）第16号,1982-09-28,
31,旅館・ホテル,ホテルファラオ,北海道札幌市中央区南３条西２丁目１５番５,,011-252-2211,株式会社ファラオ,代表取締役,岩寺利夫,札保環許可（旅）第15号,2010-12-20,
32,旅館・ホテル,ＨＯＴＥＬリーネルすすきの,北海道札幌市中央区南３条西２丁目１番５号,,011-210-8111,ピクニックストーリー株式会社,代表取締役,櫻井守,札保環許可（旅）第2号,2012-05-23,
33,簡易宿所,カプセル・イン札幌,北海道札幌市中央区南３条西３丁目７番地,,011-251-5571,株式会社アスクゲートダイナー,代表取締役,斉藤三寛,札保環許可（旅）第36号,2018-03-27,
34,簡易宿所,コミック＆カプセルホテル札幌すすきの店,北海道札幌市中央区南３条西４丁目８－２,アーバン札幌ビル２階,011-252-6750,株式会社ランシステム,代表取締役,日高大輔,札保環許可（旅）第3号,2017-04-14,
35,旅館・ホテル,ホテルビスタ札幌[大通],北海道札幌市中央区南３条西５丁目１６番地,,011-233-3151,株式会社ビスタホテルマネジメント,代表取締役,大内克郎,札保環許可（旅）第6号,2018-05-29,
36,旅館・ホテル,からくさホテル札幌,北海道札幌市中央区南３条西５丁目２４,,011-204-6602,株式会社からくさホテルズ札幌,代表取締役社長,杉本和也,札保環許可（旅）第26号,2018-01-10,
37,簡易宿所,ＧＲＩＤＳ札幌,北海道札幌市中央区南３条西５丁目３２番,,011-252-7415,株式会社フィルド,代表取締役,齋藤貴之,札保環許可（旅）第6号,2017-05-17,
38,旅館・ホテル,ホテルドーミーイン札幌ＡＮＮＥＸ,北海道札幌市中央区南３条西６丁目１０番地６,,011-232-8100,株式会社共立メンテナンス,代表取締役,佐藤充孝,札保環許可（旅）第19号,2005-03-15,
39,旅館・ホテル,ホテルニューバジェット札幌,北海道札幌市中央区南３条西６丁目７－１，２，８,,011-261-4953,イワクラホーム株式会社,代表取締役社長,佐々木与三郎,札保環許可（旅）第7号,1999-07-28,
40,旅館・ホテル,Ｔｈｅ ｓｔａｙ ｓａｐｐｏｒｏ 和（なごみ）,北海道札幌市中央区南３条西８丁目２－１７,,011-222-0753,ダイニチキャピタル＆ホープ株式会社,代表取締役,佐藤信也,札保環許可（旅）第15号,2018-07-12,
41,旅館・ホテル,有限会社ホテルエーワン,北海道札幌市中央区南３条西９丁目１００６番地１０,,011-281-1144,有限会社ホテルエーワン,取締役,白川浩一,札保環許可（旅）第5号,2012-10-24,
42,旅館・ホテル,ホテルラフィナート札幌,北海道札幌市中央区南３条西９丁目９９８－６,,011-280-1777,株式会社ホテルラフィナート札幌,代表取締役,樋口友亮,札保環許可（旅）第11号,2018-06-27,
43,旅館・ホテル,有限会社ホテルテトラ札幌,北海道札幌市中央区南３条西９丁目９９９－２２,,011-272-0005,有限会社ホテルテトラ札幌,代表取締役,三浦孝司,札中保衛許可（旅）第2号,1995-06-12,
44,旅館・ホテル,ホテルユニオン,北海道札幌市中央区南３条西１２丁目,,011-561-6161,一般財団法人北海道教育会館,代表理事,小関顕太郎,札中保衛許可（旅）第2066号,1974-07-02,
45,簡易宿所,ＳＴＡＹ３／４,北海道札幌市中央区南３条東４丁目１－３１,ローヤルハイツ南３条（２Ｆ）,,トーホー建物株式会社,代表取締役,府川令樹,札保環許可（旅）第8号,2018-06-01,
46,簡易宿所,ゲストハウスｙｕｙｕ　,北海道札幌市中央区南３条東４丁目３－１３,,,合同会社Ｓｔａｙｌｉｎｋ,代表社員,河嶋峻,札保環許可（旅）第7号,2016-06-24,
47,旅館・ホテル,スマイルホテルプレミアム札幌すすきの,北海道札幌市中央区南４条西１丁目１３－１,,011-251-7055,株式会社ホスピタリティオペレーションズ,代表取締役,田中章生,札保環許可（旅）第32号,2018-02-23,
48,旅館・ホテル,ダイワロイネットホテル札幌すすきの,北海道札幌市中央区南４条西１丁目２－１、２－２,,011-530-0755,ダイワロイヤル株式会社,代表取締役,原田健,札保環許可（旅）第4号,2012-07-19,
49,旅館・ホテル,アパホテル＜札幌すすきの駅前＞,北海道札幌市中央区南４条西２丁目１番１号,,011-511-4111,アパホテル株式会社,代表取締役,元谷芙美子,札保環許可（旅）第6号,2012-11-05,
50,旅館・ホテル,メルキュールホテル札幌,北海道札幌市中央区南４条西２丁目２番４号,,011-513-1100,エイ・エイ・ピー・シー・ジャパン株式会社,代表取締役,フレドリック・ディグネジオ,札保環許可（旅）第4号,2009-05-21,
51,旅館・ホテル,東横イン札幌すすきの交差点,北海道札幌市中央区南４条西３丁目４番地１,,011-207-1045,株式会社東横イン,代表執行役,黒田麻衣子,札保環許可（旅）第20号,2005-03-23,
52,旅館・ホテル,札幌東急ＲＥＩホテル,北海道札幌市中央区南４条西５丁目１番地,,011-531-0109,株式会社札幌東急ホテルズ,代表取締役,小林昭人,札保環許可（旅）第6号,2007-06-01,
53,簡易宿所,スパアンドホテル　ＡＶＩ－ＮＥＬ　,北海道札幌市中央区南４条西６丁目４,,011-530-0008,株式会社ＡＶＩ－ＮＥＬ,代表取締役,梅野泰紀,札保環許可（旅）第4号,2007-04-27,
54,簡易宿所,ＳＰＡ　ＨＯＴＥＬ　ソーレすすきの,北海道札幌市中央区南４条西６丁目４番,,011-533-2200,ピクニック・ロード株式会社,代表取締役,髙木悟,札保環許可（旅）第6号,2013-08-08,
55,旅館・ホテル,アパホテル＜札幌すすきの駅西＞,北海道札幌市中央区南４条西７丁目１番１号,,011-511-9111,アパホテル株式会社,代表取締役,元谷芙美子,札保環許可（旅）第7号,2012-11-05,
56,簡易宿所,北海道難病センター,北海道札幌市中央区南４条西１０丁目,,011-512-3233,財団法人北海道難病連,代表理事,髙田泰一,札中保衛許可（旅）第1号,1983-01-19,
57,旅館・ホテル,札幌東武ホテル,北海道札幌市中央区南４条東１丁目,,011-242-0111,東武緑地株式会社,代表取締役,平野通郎,札保環許可（旅）第19号,2004-03-31,
58,簡易宿所,めざましサンド店,北海道札幌市中央区南４条東３丁目９－１,,011-211-1866,株式会社ソーシャルコンパス,代表取締役,大畑俊介,札保環許可（旅）第22号,2017-10-05,
59,旅館・ホテル,ホテル  クラークイン,北海道札幌市中央区南４条東４丁目１番地１１,,011-219-1118,ヒロ通商株式会社,代表取締役,三木秀宗,札保環許可（旅）第15号,2000-02-04,
60,旅館・ホテル,ＧＬＯＷＬ-Ｓ４Ｅ５,北海道札幌市中央区南４条東５丁目３－３,,,株式会社ＧＬＯＷＬ,代表取締役,堀麻美,札保環許可（旅）第30号,2018-01-25,
61,旅館・ホテル,コンフォートホテル札幌すすきの,北海道札幌市中央区南５条西１丁目２－１０,,011-513-4111,株式会社グリーンズ,代表取締役,村木雄哉,札保環許可（旅）第9号,2018-06-22,
62,旅館・ホテル,ＡＮＡホリデイ・イン・札幌すすきの　,北海道札幌市中央区南５条西３丁目７番地１,,011-512-5533,株式会社タスク,代表取締役,石村圭史,札保環許可（旅）第1号,2013-04-02,
63,旅館・ホテル,桃葉旅館,北海道札幌市中央区南５条西５丁目,,011-531-7075,大河博,,,札中保衛許可（旅）第4065号,1958-04-09,
64,簡易宿所,ＢＩＺＣＯＵＲＴ　ＣＡＢＩＮすすきの,北海道札幌市中央区南５条西５丁目１３－１,,050-5847-7444,ルートインジャパン株式会社,代表取締役,永山泰樹,札保環許可（旅）第31号,2017-03-31,
65,旅館・ホテル,ホテルルートイン札幌中央,北海道札幌市中央区南５条西５丁目１３番１,,011-518-6111,ルートインジャパン株式会社,代表取締役,永山泰樹,札保環許可（旅）第5号,2010-06-08,
66,旅館・ホテル,ザ・ビー札幌すすきの,北海道札幌市中央区南５条西６丁目１４番地１,,011-562-1122,株式会社イシン・サッポロミナミ・オペレーションズ,代表取締役,キース・タカシ・フジイ,札保環許可（旅）第27号,2018-01-12,
67,旅館・ホテル,旅館松山園,北海道札幌市中央区南５条西７丁目,,011-511-5548,柳沢幸子,,,札中保衛許可（旅）第21号,1964-02-12,
68,旅館・ホテル,プレミアホテル－ＣＡＢＩＮ－札幌,北海道札幌市中央区南５条西７丁目５番２、５番３、４番３,,,北海道ＰＫホテルマネジメント株式会社,代表取締役,藤渡孝幸,札保環許可（旅）第12号,2012-03-30,
69,旅館・ホテル,ＦＲＡＭＥ　ＨＯＴＥＬ　ＳＡＰＰＯＲＯ,北海道札幌市中央区南５条西７丁目８番１号,,011-530-0001,株式会社尚進,代表取締役,関口忠男,札保環許可（旅）第2号,2011-05-11,
70,旅館・ホテル,Ｇｕｅｓｔ　Ｈｏｕｓｅ　ＮＯＮＡＫＡ,北海道札幌市中央区南５条西９丁目,,011-521-1010,野中伴実,,,札保環許可（旅）第15号,2002-01-28,
71,旅館・ホテル,ＮＡＤＡ,北海道札幌市中央区南５条西９丁目,,011-551-5882,小鹿信平,,,札中保衛許可（旅）第7号,1991-11-08,
72,簡易宿所,ＴＨＥ　ＳＴＡＹ　ＳＡＰＰＯＲＯ,北海道札幌市中央区南５条西９丁目１００８番地の１０,,011-252-7401,株式会社フィルド,代表取締役,齋藤貴之,札保環許可（旅）第1号,2015-04-13,
73,簡易宿所,Ｓｏｃｉａｌ Ｈｏｓｔｅｌ ３６５,北海道札幌市中央区南５条西９丁目１０１９－１６,３６５ビル　２Ｆ,011-206-8569,合同会社ココロネ,代表社員,佐々木壮一,札保環許可（旅）第3号,2016-05-11,
74,簡易宿所,Ｓｏｃｉａｌ Ｈｏｓｔｅｌ ３６５ｇ,北海道札幌市中央区南５条西９丁目１０１９－１６,３６５ビル　３Ｆ,011-206-8569,合同会社ココロネ,代表社員,佐々木壮一,札保環許可（旅）第4号,2016-05-11,
75,簡易宿所,パティズハウス,北海道札幌市中央区南５条西１４丁目３－１２,,,池上恵子,,,札保環許可（旅）第2号,2018-04-06,
76,旅館・ホテル,ホテル　ロンシャン　サッポロ,北海道札幌市中央区南５条東１丁目１－２番地他,,011-561-1131,株式会社エフ・エル・ワイ,代表取締役,湯浅義弘,札保環許可（旅）第2号,2009-04-17,
77,簡易宿所,ＳａｐｐｏＬｏｄｇｅ,北海道札幌市中央区南５条東１丁目１番地４,,011-211-4314,株式会社ＧＯＯＤＶＩＢＥＳ,代表取締役,奈良亘,札保環許可（旅）第11号,2014-12-25,
78,旅館・ホテル,光栄旅館,北海道札幌市中央区南５条東３丁目５番地１,,011-531-7466,宮本春江,,,札保環許可（旅）第20号,2002-12-18,
79,旅館・ホテル,アパホテル　＜札幌すすきの＞,北海道札幌市中央区南６条西１丁目１１－２,,011-551-0811,アパホテル株式会社,代表取締役,元谷芙美子,札保環許可（旅）第10号,2001-07-10,
80,簡易宿所,倉のや,北海道札幌市中央区南６条西１丁目３－５３階,,011-211-0828,株式会社倉のや,代表取締役,小倉禎典,札保環許可（旅）第25号,2017-12-22,
81,旅館・ホテル,ホテル　ホワイトイン６・２,北海道札幌市中央区南６条西２丁目７－１,,011-521-6480,株式会社ベルブランシュ,代表取締役,小山隆子,札保環許可（旅）第6号,2010-07-01,
82,旅館・ホテル,スーパーホテル札幌・すすきの南,北海道札幌市中央区南６条西２丁目８－１,,011-521-9000,株式会社スーパーホテル,代表取締役,山村孝雄,札保環許可（旅）第23号,2008-03-26,
83,旅館・ホテル,ホテル新東,北海道札幌市中央区南６条西３丁目１－１１,,011-512-6611,新東商事株式会社,代表取締役,見上弘明,札中保衛許可（旅）第5号,1991-09-09,
84,旅館・ホテル,ホテルニュー北海,北海道札幌市中央区南６条西５丁目,,011-521-5331,片山謹三,,,札中保衛許可（旅）第6号,1987-05-08,
85,簡易宿所,スパ・サフロ,北海道札幌市中央区南６条西５丁目３番地２,,011-531-2233,株式会社Ｍ＆Ｓスパ・プロジェクト,代表取締役,澤田之孝,札保環許可（旅）第9号,2007-08-22,
86,旅館・ホテル,ホテルＷＢＦ札幌すすきの,北海道札幌市中央区南６条西５丁目８－６,,011-552-5001,ＷＢＦリゾート株式会社,代表取締役,近藤康生,札保環許可（旅）第29号,2017-03-28,
87,旅館・ホテル,スワンキーホテル・オートモ,北海道札幌市中央区南６条西６丁目,,011-513-1166,大友観光開発株式会社,代表取締役,大友正幸,札保環許可（旅）第8号,2009-02-04,
88,旅館・ホテル,ホテル　ウォーターゲート　札幌,北海道札幌市中央区南６条西７丁目１１－１,,011-511-0067,株式会社生明振興,代表取締役,佐藤公昭,札保環許可（旅）第4号,2013-05-15,
89,旅館・ホテル,ホテルローヤルステイ・サッポロ,北海道札幌市中央区南６条西８丁目２番地１,,011-512-5800,株式会社リオ＆パコホテルズ,代表取締役,東雲勝幸,札保環許可（旅）第10号,2013-11-21,
90,簡易宿所,Ｇ Ｃlasse（ジークラッセ）,北海道札幌市中央区南６条西８丁目８番１６号,,011-816-3636,株式会社エムズ,代表取締役,宮内雅弘,札保環許可（旅）第24号,2017-11-16,
91,旅館・ホテル,東横ＩＮＮ札幌すすきの南,北海道札幌市中央区南６条東２丁目１－１,,011-551-1045,株式会社東横イン,代表執行役,黒田麻衣子,札中保衛許可（旅）第7号,1996-01-31,
92,旅館・ホテル,ホテル　エス,北海道札幌市中央区南６条東３丁目１ー１,,011-563-5544,株式会社エス,代表取締役,岩寺利夫,札保環許可（旅）第12号,1997-09-25,
93,旅館・ホテル,ホテルヴィラシティ,北海道札幌市中央区南６条東３丁目１番地１,,,株式会社キャンドウスポーツ,代表取締役,韓義孝,札中保衛許可（旅）第2号,1988-03-07,
94,旅館・ホテル,ヴィラシティホテルトゥディ,北海道札幌市中央区南６条東３丁目１番地の２,,,株式会社キャンドウスポーツ,代表取締役,韓義孝,札中保衛許可（旅）第3号,1988-03-07,
95,旅館・ホテル,ＨＯＴＥＬ　ＰＯＲＴＥ,北海道札幌市中央区南６条東３丁目２０番１号,,011-530-0022,株式会社エブリース,代表取締役,工藤幹,札保環許可（旅）第29号,2018-01-18,
96,旅館・ホテル,札幌第一ホテル,北海道札幌市中央区南７条西１丁目１２－７,,011-530-1101,株式会社第一ホテル,代表取締役,米澤佳晃,札保環許可（旅）第5号,2007-05-07,
97,旅館・ホテル,レッドプラネット札幌すすきの南,北海道札幌市中央区南７条西１丁目１３番７,,011-211-4448,株式会社レッド・プラネット・ホテルズ・ジャパン,代表取締役,ティモシー・ハンシング,札保環許可（旅）第5号,2018-05-21,
98,旅館・ホテル,アパホテル＜札幌すすきの駅南＞,北海道札幌市中央区南７条西１丁目１９番１号,,,アパホテル株式会社,代表取締役,元谷芙美子,札保環許可（旅）第8号,2012-11-05,
99,旅館・ホテル,ブルーホテル　シュープリーム,北海道札幌市中央区南７条西２丁目,,011-511-1987,株式会社シュープリーム,代表取締役,木元浩喜,札保環許可（旅）第16号,2010-12-22,
100,旅館・ホテル,ジャスマックプラザ,北海道札幌市中央区南７条西３丁目４２５番地,,011-551-3333,ジャスマックプラザ株式会社,代表取締役,小栗政克,札保環許可（旅）第3号,2015-04-30,
101,旅館・ホテル,ホテルネッツ札幌,北海道札幌市中央区南７条西４丁目２番１,,011-522-2111,株式会社ポロス,代表取締役,才式祐久,札保環許可（旅）第14号,2017-06-27,
102,旅館・ホテル,ススキノラブホテル３,北海道札幌市中央区南７条西４丁目４２４-１４他,,011-522-2466,株式会社イースカイ,代表取締役,木元浩喜,札保環許可（旅）第5号,2005-07-07,
103,旅館・ホテル,ＨＯＴＥＬ　ＸＯ,北海道札幌市中央区南７条西５丁目,,011-521-2121,ユニバーランド株式会社,代表取締役,笹谷一二三,札中保衛許可（旅）第8号,1993-09-06,
104,旅館・ホテル,Ｔｍａｒｋ　Ｃｉｔｙ　Ｈｏｔｅｌ　Ｓａｐｐｏｒｏ,北海道札幌市中央区南７条西５丁目,,011-511-7531,株式会社アレグロクスＴＭホテルマネジメント,代表取締役社長,武山拓昭,札保環許可（旅）第17号,2015-02-20,
105,旅館・ホテル,ホテルマイステイズ札幌すすきの,北海道札幌市中央区南７条西５丁目１番地７,,011-520-1500,株式会社マイステイズ・ホテル・マネジメント,代表取締役,麻野篤毅,札保環許可（旅）第16号,2017-07-21,
106,旅館・ホテル,Ｃ－ＨＯＴＥＬ　ａｆｆｅｔｔｏ,北海道札幌市中央区南７条西５丁目２８９－５５,,011-522-2235,株式会社アフェット,代表取締役,岡澤茂和,札保環許可（旅）第2号,2010-04-16,
107,旅館・ホテル,ホテル　アネックス,北海道札幌市中央区南７条西５丁目２８９－５６,,,カンエイ実業株式会社,代表取締役,坂下修,札保環許可（旅）第25号,2017-01-31,
108,旅館・ホテル,ウィークリーさっぽろ本館,北海道札幌市中央区南７条西５丁目２８９－６３,,011-511-2000,リョーセイ有限会社,代表取締役,濵田研史,札保環許可（旅）第14号,2015-01-13,
109,簡易宿所,タイムピースアパートメント,北海道札幌市中央区南８条西１丁目１３－９２,,011-788-3928,平野仁,,,札保環許可（旅）第8号,2015-10-01,
110,簡易宿所,ＩＧＬＯＯ　ｂｙ　Ｓｏｃｉａｌ　Ｈｏｓｔｅｌｓ,北海道札幌市中央区南８条西１丁目１３－９３,,011-522-5818,合同会社ココロネ,代表社員,佐々木壮一,札保環許可（旅）第12号,2017-06-23,
111,旅館・ホテル,イビススタイルズ札幌,北海道札幌市中央区南８条西３丁目１０－１０,,011-530-4055,エイ・エイ・ピー・シー・ジャパン株式会社,代表取締役,フレドリックディグネジオ,札保環許可（旅）第12号,2014-12-26,
112,旅館・ホテル,ベストウエスタンホテル札幌中島公園,北海道札幌市中央区南８条西３丁目１０－１０,,011-530-4055,合同会社札幌ホテル・ホールディング,代表社員,株式会社ﾎﾃﾙﾏﾈｰｼﾞﾒﾝﾄｼﾞｬﾊﾟﾝ,札保環許可（旅）第3号,2013-04-25,
113,旅館・ホテル,ホテルリリーフ札幌すすきの,北海道札幌市中央区南８条西３丁目１－４,,011-532-0177,株式会社フェリーチェ,代表取締役,大森真,札保環許可（旅）第16号,2015-01-29,
