No,業種区分,施設名称,施設所在地,施設ビル名,施設TEL,開設者名,代表者肩書,代表者名,許可番号,許可年月日,前月新許可施設(許可年月日)
226,旅館・ホテル,北海道第一ホテルサッポロ,北海道札幌市北区北２３条西４丁目19-314,,011-726-3232,株式会社マルカサポート・ツー,代表取締役,金井小百合,札保環許可（旅）第7号,2005-08-08,
227,簡易宿所,ホッカイドウ・サン・ゲストハウス,北海道札幌市北区北２３条西６丁目２－２１,,011-788-5099,合同会社リベルタージ,代表社員,海野絵理,札保環許可（旅）第15号,2016-09-29,
228,旅館・ホテル,ホテルヴィーナス,北海道札幌市北区北２４条西４丁目３番２０号,,011-747-7116,株式会社プラグレス,代表取締役,南秀晴,札北保衛許可（旅）第3号,1984-09-10,
229,旅館・ホテル,ホテル目黒エンペラー,北海道札幌市北区北２４条西４丁目４－６,,011-746-0501,濱谷政治,,,札北保衛許可（旅）第3号,1980-11-15,
230,旅館・ホテル,札幌サンプラザ,北海道札幌市北区北２４条西５丁目１,,011-717-2711,一般財団法人札幌勤労者職業福祉センター,理事長,町田隆敏,札北保衛許可（旅）第1号,1986-08-25,
231,旅館・ホテル,ホテルフィオナ,北海道札幌市北区北３７条西８丁目２番６号,,011-756-5603,山タ武田商事株式会社,代表取締役,田中裕二,札北保衛許可（旅）第2号,1980-06-06,
232,旅館・ホテル,ホテルロイヤル朋,北海道札幌市北区北４０条西５丁目５－１５,,011-717-0050,若松興産有限会社,代表取締役,追越悟,札北保衛許可（旅）第2号,1981-11-06,
233,下宿,トゥレプの杜,北海道札幌市東区中沼５条１丁目１番２５号,,,一般社団法人ピリカの丘,代表理事,高橋陽子,札保環許可（旅）第24号,2017-01-25,
234,旅館・ホテル,ホテル　水色の詩,北海道札幌市東区東苗穂５条２丁目６番３７号,,011-783-6288,有限会社水組,代表取締役,堀尾博美,札保環許可（旅）第7号,2001-06-06,
235,旅館・ホテル,芙蓉館,北海道札幌市東区北７条東３丁目２８番地,,011-711-8762,有限会社芙蓉館,代表取締役,阿部典昭,札保環許可（旅）第17号,2002-03-12,
236,下宿,アルファケア北８条東／アルファマンスリー北８条東,北海道札幌市東区北８条東１２丁目１－５,,011-752-6240,アルファコミュニティ株式会社,代表取締役,川村裕二,札保環許可（旅）第20号,2017-09-06,
237,簡易宿所,Ｐｉｒｋａ　Ｓａｐｐｏｒｏ,北海道札幌市東区北１４条東１２丁目１番３０号,,011-723-7810,伴朋之,,,札保環許可（旅）第35号,2018-03-22,
238,旅館・ホテル,アーバンホテルマルコー,北海道札幌市東区北１７条東１丁目３番７号,,011-704-7111,有限会社丸幸ホテル,代表取締役,熱田直樹,札東保衛許可（旅）第1号,1991-05-24,
239,旅館・ホテル,丸幸旅館,北海道札幌市東区北１７条東１丁目４番３号,,011-721-4786,熱田桂子,,,札東保衛許可（旅）第1号,1990-04-03,
240,旅館・ホテル,ホテル ピジョン ド ラ・メール,北海道札幌市東区北３３条東１７丁目,,011-780-8811,有限会社北野商事,代表取締役,田中裕二,札東保衛許可（旅）第1号,1983-03-17,
241,旅館・ホテル,ホテルユキタ,北海道札幌市東区北３６条東１５丁目３－１５,,011-751-3500,株式会社ユキタ,代表取締役,鈴木隆也,札東保衛許可（旅）第3号,1993-11-19,
242,旅館・ホテル,ホテル朋,北海道札幌市東区北３９条東１６丁目,,011-783-5148,若松興産有限会社,代表取締役,追越悟,札東保衛第3124号,1979-12-12,
243,旅館・ホテル,ドミトリー南郷,北海道札幌市白石区栄通１７丁目５番２５号,,011-855-7333_,株式会社南郷,代表取締役,竹内信也,札保環許可（旅）第7号,2014-10-23,
244,旅館・ホテル,ＨＯＴＥＬ　ＰＯＴＭＵＭ,北海道札幌市白石区菊水１条１丁目３－１７,,011-826-4500,株式会社藤井ビル,代表取締役,藤井將博,札保環許可（旅）第8号,2017-05-31,
245,簡易宿所,ビーチ＆フィールド　イン,北海道札幌市白石区菊水７条２丁目６番地,,011-376-1288,一般財団法人ビーチ＆フィールド保護協会,理事長,濱野安宏,札保環許可（旅）第16号,2018-07-18,
246,旅館・ホテル,ホテル　アセントイン札幌,北海道札幌市白石区東札幌３条２丁目１－３,,011-820-2800,泰和石油株式会社,代表取締役,田井中,札保環許可（旅）第2号,2003-04-30,
247,簡易宿所,イノーズ プレイス,北海道札幌市白石区東札幌３条４丁目６－５,,011-832-1828,猪俣栄治,,,札保環許可（旅）第13号,2001-11-30,
248,旅館・ホテル,ホテル縁,北海道札幌市白石区平和通１２丁目北６－２０,,011-862-2016,株式会社丸信企画,代表取締役,前田英則,札白保衛許可（旅）第3号,1979-12-05,
249,旅館・ホテル,ホテルシエロ,北海道札幌市白石区平和通１２丁目北６－５０,,011-863-1001,有限会社北雄,取締役,前田英則,札保環許可（旅）第19号,2001-03-05,
250,旅館・ホテル,ホテル　アーデン,北海道札幌市白石区平和通１４丁目北２－４５,,011-861-3937,株式会社東日商事,代表取締役,竹生功,札白保衛許可（旅）第1号,1985-02-09,
251,旅館・ホテル,ホテルクレア,北海道札幌市白石区平和通１４丁目北３番２８号,,011-862-5616,山タ武田商事株式会社,代表取締役,田中裕二,札白保衛許可（旅）第2号,1981-11-18,
252,旅館・ホテル,ホテル　ワイズ,北海道札幌市白石区米里１条２丁目２－３,,011-879-3311,株式会社ワイズ,代表取締役,岩寺利夫,札保環許可（旅）第19号,1997-12-09,
253,旅館・ホテル,ホテルルートイン札幌白石,北海道札幌市白石区北郷４条２丁目１－５,,011-873-2727,ルートインジャパン株式会社,代表取締役,永山泰樹,札保環許可（旅）第9号,2001-07-02,
254,旅館・ホテル,ホテルエミシア札幌,北海道札幌市厚別区厚別中央２条５丁目５番２５号,,011-895-8811,株式会社ホスピタリティオペレーションズ,代表取締役,田中章生,札保環許可（旅）第7号,2013-08-28,
255,旅館・ホテル,アークシティホテル,北海道札幌市厚別区厚別中央２条５丁目６－２,,011-890-2525,株式会社アークホテルシステム,代表取締役,井澤睦雄,札厚保衛許可（旅）第1号,1990-05-29,
256,旅館・ホテル,ホテル　アクアムーン,北海道札幌市厚別区厚別東４条２丁目４番２７号,,011-898-2535,有限会社富士興産,取締役,塩見昌宏,札保環許可（旅）第11号,2002-07-16,
257,旅館・ホテル,レジャーホテル・ボルボ,北海道札幌市厚別区厚別東５条１丁目２,,011-897-1171,株式会社公商事,代表取締役,佐藤公夫,札厚保衛許可（旅）第1号,1984-06-06,
258,旅館・ホテル,プチ・ラメールⅡ,北海道札幌市厚別区大谷地西６丁目５番１５,,011-892-8415,サッポロホールディング有限会社,代表取締役,田中裕二,札厚保衛許可（旅）第3号,1980-09-19,
259,旅館・ホテル,プチ・ラメール,北海道札幌市厚別区大谷地西６丁目５番１５号,,011-892-8415,サッポロホールディング有限会社,代表取締役,田中裕二,札厚保衛許可（旅）第1号,1979-09-03,
260,旅館・ホテル,オーベルジュ・ラ・グラース,北海道札幌市厚別区大谷地東７丁目５番１号,,011-893-5656,株式会社ラ・グラース,代表取締役,岩寺利夫,札厚保衛許可（旅）第1号,1995-02-21,
261,簡易宿所,ＡＫＫＯ’ｓ　Ｇｕｅｓｔ　Ｈｏｕｓｅ,北海道札幌市豊平区月寒西１条６丁目２番１号,,011-858-0155,合同会社アキエステート,代表社員,高田昭子,札保環許可（旅）第28号,2018-01-17,
262,簡易宿所,ＳＡＫＵＲＡ ＨＯＵＳＥ,北海道札幌市豊平区月寒西３条１０丁目２－４８,,,藤野雄,,,札保環許可（旅）第17号,2018-07-19,
263,旅館・ホテル,アーバンリゾート　ヴィーナスコート,北海道札幌市豊平区中の島１条４丁目１－１,,011-837-8888,総合ビジネス株式会社,代表取締役,中澤信寛,札保環許可（旅）第19号,2010-12-22,
264,旅館・ホテル,Rima Sweet,北海道札幌市豊平区中の島２条８丁目６－２０,,011-813-1115,株式会社三新,代表取締役,富山哲新,札保環許可（旅）第10号,2010-01-14,
265,簡易宿所,ペンション雪輪,北海道札幌市豊平区美園８条２丁目４番２１号,,011-822-7123,霜鳥弘典,,,札保環許可（旅）第21号,2008-03-19,
266,下宿,ペンション雪輪Ⅰ,北海道札幌市豊平区美園８条２丁目４番２１号,,011-822-7123,霜鳥弘典,,,札保環許可（旅）第13号,2015-12-24,
267,下宿,カルムイン美園,北海道札幌市豊平区美園８条６丁目１５番地,,011-833-0800,丸紅リアルエステートマネジメント株式会社,代表取締役,吉田隆太郎,札豊保衛許可（旅）第1号,1995-02-13,
268,旅館・ホテル,ブルーホテルダリア,北海道札幌市豊平区福住２条８丁目,,011-851-9388,株式会社吉川観光,代表取締役,木元浩喜,札豊保衛許可（旅）第1586号,1970-06-08,
269,旅館・ホテル,ＨＯＴＥＬ　ＳＵＬＡＴＡ,北海道札幌市豊平区平岸１条８丁目９－１５,,011-820-7771,株式会社ＳＵＬＡＴＡ北海道,代表取締役,堀雅彦,札保環許可（旅）第6号,2011-10-21,
270,旅館・ホテル,ナチュラルホテル　リーフ,北海道札幌市豊平区平岸１条８丁目９番１５号,,011-815-5050,株式会社プランニングフード,代表取締役,石澤隆典,札保環許可（旅）第10号,2010-10-26,
271,旅館・ホテル,ホテルＷＯＯ　パートⅡ,北海道札幌市豊平区平岸１条１２丁目,,011-841-1534,有限会社及川商事,代表取締役,及川隆,札豊保衛許可（旅）第6号,1981-07-22,
272,旅館・ホテル,ホテルＷＯＯ　パートⅠ,北海道札幌市豊平区平岸１条１２丁目,,011-841-1534,有限会社及川商事,代表取締役,及川隆,札豊保衛許可（旅）第6号,1979-07-28,
273,旅館・ホテル,ホテル　フォレスティ,北海道札幌市豊平区平岸１条１２丁目１番７９号,,011-837-5557,株式会社フォレスティ,代表取締役,渡邊祐輔,札保環許可（旅）第20号,2010-12-24,
274,簡易宿所,Ｇｕｅｓｔ　Ｈｏｕｓｅ　ｗａｙａ,北海道札幌市豊平区豊平２条４丁目１－４３,,011-850-9482,合同会社Ｓｔａｙｌｉｎｋ,代表役員,河嶋峻,札保環許可（旅）第5号,2014-10-21,
275,簡易宿所,成屋,北海道札幌市豊平区豊平３条１丁目１－１,豊拓ビル３、４Ｆ,,合同会社スリーロード,代表社員,外崎一成,札保環許可（旅）第5号,2017-05-15,
276,簡易宿所,サードプレイスイン,北海道札幌市豊平区豊平３条４丁目１－２３,,011-598-7223,合同会社Ｓｔａｙｌｉｎｋ,代表社員,河嶋峻,札保環許可（旅）第33号,2018-03-12,
277,旅館・ホテル,プレミアホテル‐ＴＳＵＢＡＫＩ-札幌,北海道札幌市豊平区豊平４条１丁目１番１号,,011-821-1111,ケン・プレミア・ホテル・マネジメント株式会社,代表取締役,緒方俊彦,札保環許可（旅）第9号,2003-11-18,
278,旅館・ホテル,丸富旅館,北海道札幌市豊平区豊平４条８丁目１番３号,,011-811-7747,遠谷哲治,,,札保環許可（旅）第16号,2007-12-27,
279,旅館・ホテル,札幌国際ユースホステル,北海道札幌市豊平区豊平６条６丁目５番３５号,,011-825-3389,札幌市,札幌市長,秋元克広,札保環許可（旅）第18号,2007-03-27,
280,旅館・ホテル,ホテルウィングⅡ,北海道札幌市清田区清田１条１丁目１－２８,,011-881-1486,有限会社富士観光,代表取締役,土屋英樹,札豊保衛許可（旅）第3号,1985-04-12,
281,旅館・ホテル,ホテル　キャレス,北海道札幌市清田区平岡１条３丁目３‐１,,011-881-1754,有限会社寿楽興業,代表取締役,富田佳直,札保環許可（旅）第16号,2004-02-12,
282,旅館・ホテル,ホテルクラウン,北海道札幌市清田区里塚１条２丁目１６－１０,,011-881-3183,有限会社マルミ観光,代表取締役,津村進,札豊保衛許可（旅）第3号,1984-08-31,
283,旅館・ホテル,ホテルクィーンⅡ,北海道札幌市清田区里塚２条１丁目１６－１,,011-883-1315,株式会社坂本建設工業,代表取締役,坂本浩,札豊保衛許可（旅）第3号,1983-09-27,
284,旅館・ホテル,ホテル　ルティーナ,北海道札幌市清田区里塚２条４丁目２番１号,,011-882-3266,有限会社雄貴,代表取締役,藤田浩一,札保環許可（旅）第9号,2002-07-11,
285,旅館・ホテル,芸森スタジオ　Ｃｌｏｕｄ　Ｌｏｄｇｅ,北海道札幌市南区芸術の森３丁目９１５－２０,,011-206-7355,株式会社ＳＡＶＥ,代表取締役,小島紳次郎,札保環許可（旅）第1号,2017-04-10,
286,旅館・ホテル,湯元旬の御宿まつの湯,北海道札幌市南区小金湯２４－２・３・４,,011-596-2131,株式会社松の湯旅舘,代表取締役社長,陰元潤一,札保環許可（旅）第9号,1998-11-26,
287,旅館・ホテル,湯元小金湯　別館,北海道札幌市南区小金湯２５番１,,011-596-2111,工藤産業株式会社,代表取締役,工藤芳夫,札保環許可（旅）第1号,2007-04-09,
288,旅館・ホテル,湯元　小金湯,北海道札幌市南区小金湯２５番地１,,011-596-2111,工藤産業株式会社,代表取締役,工藤芳夫,札保環許可（旅）第22号,2008-03-19,
289,簡易宿所,ＣＯＱ,北海道札幌市南区常盤５条１丁目１番２３号,２Ｆ,011-252-9095,株式会社ＫＡＪＩＨＡＲＡＤＥＳＩＧＮＳＴＵＤＩＯ,代表取締役,梶原加奈子,札保環許可（旅）第17号,2017-07-27,
290,旅館・ホテル,札幌市保養センター駒岡,北海道札幌市南区真駒内６００番地,,011-583-8553,札幌市,札幌市長,秋元克広,札南保衛許可（旅）第1号,1986-03-12,
291,旅館・ホテル,北海道青少年会館　コンパス,北海道札幌市南区真駒内柏丘７丁目８番１号,,011-584-7555,株式会社スポートピア,代表取締役,安田光則,札保環許可（旅）第12号,2013-03-25,
292,旅館・ホテル,ホテル　ロロ,北海道札幌市南区川沿１条２丁目２－１,,011-573-6060,有限会社藻岩観光商事,取締役,岩寺利夫,札南保衛許可（旅）第4号,1985-02-12,
293,旅館・ホテル,アパホテル＆リゾート＜札幌＞,北海道札幌市南区川沿４条２丁目,,011-571-3111,アパホテル株式会社,代表取締役,元谷芙美子,札保環許可（旅）第6号,2004-04-30,
294,旅館・ホテル,ホテルストロベリー,北海道札幌市南区川沿１１条１丁目７－２７,,011-573-2380,有限会社福吉観光,取締役,佐藤則子,札南保衛許可（旅）第7号,1985-10-31,
295,旅館・ホテル,ホテルかわぞい,北海道札幌市南区川沿１２条１丁目１－６９,,011-571-5885,有限会社エイト商事,代表取締役,山根かおり,札南保衛許可（旅）第2号,1985-02-12,
296,簡易宿所,滝野自然学園,北海道札幌市南区滝野１０６番地,,011-591-8780,公益財団法人さっぽろ青少年女性活動協会,代表理事,岡村龍一,札保環許可（旅）第2号,2016-04-19,
297,簡易宿所,青少年山の家,北海道札幌市南区滝野２４３番地,国営滝野すずらん丘陵公園内,011-591-0303,札幌市,札幌市長,秋元克広,札南保衛許可（旅）第2号,1989-09-08,
298,簡易宿所,オートリゾート滝野,北海道札幌市南区滝野２４７番地,,011-594-2122,一般財団法人公園財団,代表理事,蓑茂壽太郎,札保環許可（旅）第1号,2006-04-21,
299,簡易宿所,札幌市定山渓自然の村,北海道札幌市南区定山渓（豊平峡ダム下流国有林野）,,011-598-3100,札幌市,札幌市長,秋元克広,札保環許可（旅）第4号,1998-06-18,
300,旅館・ホテル,一峯小築,北海道札幌市南区定山渓５６６番地１,,011-215-1195,ＭＣ芸術株式会社,代表取締役,劉峰,札保環許可（旅）第14号,2016-09-02,
301,旅館・ホテル,佳松御苑,北海道札幌市南区定山渓８５７番地,,011-598-2661,株式会社ハマノホテルズ,代表取締役,浜野浩二,札保環許可（旅）第4号,2018-05-18,
302,旅館・ホテル,温泉旅館　錦和荘,北海道札幌市南区定山渓温泉西１丁目４０番地１,,011-213-1307,錦和観光株式会社,代表取締役,恒川正明,札保環許可（旅）第22号,2017-01-19,
303,旅館・ホテル,定山渓研修保養施設　倶楽部錦渓,北海道札幌市南区定山渓温泉西１丁目４番、５番の内,,011-522-6669,株式会社メディカルシステムネットワーク,代表取締役社長,田尻稲雄,札保環許可（旅）第14号,2014-03-06,
304,旅館・ホテル,札幌市職員共済組合定山渓保養所渓流荘,北海道札幌市南区定山渓温泉西２丁目,,011-598-2721,札幌市職員共済組合,理事長,町田隆敏,札南保衛許可（旅）第44号,1972-01-24,
305,旅館・ホテル,翠山亭倶楽部定山渓,北海道札幌市南区定山渓温泉西２丁目１０番地,,011-598-3341,株式会社第一寶亭留,代表取締役,布村俊雄,札保環許可（旅）第16号,2006-12-27,
306,旅館・ホテル,ホテル鹿の湯,北海道札幌市南区定山渓温泉西３丁目,,011-598-2311,株式会社ホテル鹿の湯,代表取締役,金川一男,札南保衛許可（旅）第3号,1992-08-27,
307,旅館・ホテル,定山渓第一寶亭留・翠山亭,北海道札幌市南区定山渓温泉西３丁目１０５番地,,011-598-2141,株式会社第一寶亭留,代表取締役,布村俊雄,札南保衛許可（旅）第4号,1983-10-20,
308,旅館・ホテル,厨翠山,北海道札幌市南区定山渓温泉西３丁目３番地、４番地,,011-598-5555,株式会社第一寶亭留,代表取締役,布村俊雄,札保環許可（旅）第7号,2017-05-26,
309,旅館・ホテル,翠蝶館,北海道札幌市南区定山渓温泉西３丁目５７番地１、２、３,,011-595-3330,株式会社第一寶亭留,代表取締役,布村俊雄,札保環許可（旅）第3号,2005-06-10,
310,旅館・ホテル,定山渓ホテル,北海道札幌市南区定山渓温泉西４丁目３４０番地,,011-598-2111_,合同会社定山渓ホテルインターナショナル,代表社員,水山勝行,札保環許可（旅）第30号,2017-03-31,
311,旅館・ホテル,ぬくもりの宿ふる川,北海道札幌市南区定山渓温泉西４丁目３５３,,011-598-2345,株式会社ぬくもりの宿ふる川,代表取締役,古川善雄,札南保衛許可（旅）第1号,1976-06-01,
312,旅館・ホテル,定山渓ビューホテル,北海道札幌市南区定山渓温泉東２丁目,,011-598-3223,カラカミ観光株式会社,代表取締役,片山達哉,札南保衛許可（旅）第1号,1996-04-24,
313,旅館・ホテル,悠久の宿　白糸,北海道札幌市南区定山渓温泉東２丁目１３８－１,,011-598-3351,図南商事株式会社,代表取締役,角川喜宣,札南保衛許可（旅）第1188号,1969-09-04,
314,旅館・ホテル,定山渓鶴雅リゾートスパ森の謌,北海道札幌市南区定山渓温泉東３丁目１９２番地,,011-598-2671,鶴雅リゾート株式会社,代表取締役社長,大西雅之,札保環許可（旅）第7号,2010-07-30,
315,旅館・ホテル,章月グランドホテル,北海道札幌市南区定山渓温泉東３丁目２３９番地,,011-598-2231,野口観光マネジメント株式会社,代表取締役,野口秀夫,札保環許可（旅）第7号,2018-05-31,
316,旅館・ホテル,定山渓万世閣　ホテルミリオーネ,北海道札幌市南区定山渓温泉東３丁目２６１番地,,011-598-3500,株式会社萬世閣,代表取締役,濱野清正,札南保衛許可（旅）第2号,1997-03-31,
317,旅館・ホテル,ホテル山渓苑,北海道札幌市南区定山渓温泉東４丁目３２１番地,,011-211-5678,日房株式会社,代表取締役,北園一波,札保環許可（旅）第13号,2014-12-26,
318,旅館・ホテル,定山渓グランドホテル,北海道札幌市南区定山渓温泉東４丁目３２８番地,,011-598-2214,株式会社ハマノホテルズ,代表取締役,浜野浩二,札南保衛許可（旅）第6号,1982-12-28,
319,旅館・ホテル,ホテルアゲイン,北海道札幌市南区北ノ沢１８１９番地８２８,,011-572-1230,有限会社美沢商事,代表取締役,辻應米,札南保衛許可（旅）第4号,1982-12-16,
320,簡易宿所,Ｂ＆Ｂ　ＨＯＴＴＡ,北海道札幌市南区簾舞２条１丁目５－１７,,,堀田芳江,,,札保環許可（旅）第21号,2017-09-21,
321,旅館・ホテル,ホテルターナ,北海道札幌市南区簾舞２条５丁目７－７,,011-596-3306,株式会社坂本商事,代表取締役,越智敏博,札南保衛許可（旅）第1号,1982-05-19,
322,旅館・ホテル,金湯亭,北海道札幌市南区簾舞２条５丁目７－７,,011-252-9408,株式会社太陽バス,代表取締役,宋壮飛,札保環許可（旅）第19号,2017-08-31,
323,旅館・ホテル,ホテル水色の詩,北海道札幌市西区宮の沢２条５丁目１－５４,,011-663-4363,北海道観光事業興発株式会社,代表取締役,堀尾省三,札西保衛許可（旅）第3号,1980-04-24,
324,旅館・ホテル,ニューボルボ,北海道札幌市西区宮の沢２条５丁目１－５５,,011-662-1414,株式会社公商事,代表取締役,佐藤公夫,札西保衛許可（旅）第6号,1981-08-19,
325,旅館・ホテル,札幌ホテルヤマチ,北海道札幌市西区琴似１条３丁目３－６,,011-644-5555,ヤマチ産業株式会社,代表取締役,山地利明,札西保衛許可（旅）第3号,1983-01-21,
326,簡易宿所,琴似バックパッカーズ,北海道札幌市西区琴似１条５丁目４－１８,細川ビル２階,050-1302-7207,株式会社コリンズ,代表取締役,柳橋武仁,札保環許可（旅）第21号,2018-09-10,
327,旅館・ホテル,ホテル コトニ札幌,北海道札幌市西区琴似２条５丁目４番５号,,011-640-1720,有限会社幸栄システム,代表取締役,今藤良美,札保環許可（旅）第3号,2000-05-11,
328,旅館・ホテル,琴似グリーンホテル,北海道札幌市西区琴似３条１丁目１－２０,,011-615-3344,株式会社グリーンホテル,代表取締役,山室淳三,札保環許可（旅）第9号,1997-09-08,
329,旅館・ホテル,まるよし旅館,北海道札幌市西区二十四軒４条７丁目２－３,,011-641-9786,吉田茂樹,,,札保環許可（旅）第10号,2006-01-11,
330,旅館・ホテル,ホテルＣＫ札幌,北海道札幌市西区八軒９条西１１丁目１番２８号,,011-618-8911,株式会社ＣＫ札幌,代表取締役,與田真也,札保環許可（旅）第12号,2016-08-09,
331,旅館・ホテル,ホテルチャ・チャ・ラ,北海道札幌市西区八軒１０条西１２丁目２－６３,,011-622-9444,株式会社アイディプロジェクト,代表取締役,岩寺利夫,札西保衛許可（旅）第5号,1983-12-22,
332,旅館・ホテル,ホテルキング,北海道札幌市西区八軒１０条西１２丁目４－３０,,011-641-1737,株式会社キング,代表取締役,高松昭男,札西保衛許可（旅）第6号,1979-11-30,
333,旅館・ホテル,有限会社　志ら井旅館,北海道札幌市西区発寒６条４丁目２番16号,,011-661-7373,有限会社志ら井旅館,代表取締役,白井勝美,札保環許可（旅）第16号,2002-02-19,
334,旅館・ホテル,手稲ステーションホテル,北海道札幌市手稲区手稲本町１条４丁目１番５号,,011-681-7000,株式会社テイネステーションホテル,代表取締役,船木雅紀,札保環許可（旅）第8号,2000-06-30,
335,簡易宿所,社員研修センター,北海道札幌市手稲区曙１条３丁目445－6の内、477－３の内,,011-215-7801,北海道旅客鉄道株式会社,代表取締役,島田修,札保環許可（旅）第21号,2017-01-12,
336,旅館・ホテル,ホテル　ラティフ,北海道札幌市手稲区西宮の沢１条１丁目516-137，-138，-2の内,,011-663-9000,株式会社ラティフ,代表取締役,岩寺利夫,札保環許可（旅）第17号,2004-03-11,
337,旅館・ホテル,ホテルベルサイユ,北海道札幌市手稲区西宮の沢５条１丁目３４０－１０,,011-664-5501,株式会社里平産業,代表取締役,里平茂晴,札手保衛許可（旅）第1号,1979-02-14,
338,旅館・ホテル,ホテルウイング,北海道札幌市手稲区西宮の沢６条２丁目,,011-662-1968,株式会社みづほ商事,代表取締役,北岡智,札手保衛許可（旅）第4号,1979-05-12,
339,旅館・ホテル,ホテルARDEN(アーデン),北海道札幌市手稲区西宮の沢６条２丁目４９８－１４９,,011-662-0505,有限会社双葉,代表取締役,竹生功,札手保衛許可（旅）第1号,1980-01-21,
340,旅館・ホテル,ホテルベガス５,北海道札幌市手稲区西宮の沢６条２丁目４９８－８０,,011-664-4141,株式会社里平産業,代表取締役,里平茂晴,札手保衛許可（旅）第2号,1984-02-15,
341,旅館・ホテル,ホテルベガス３,北海道札幌市手稲区西宮の沢６条２丁目４９８－８２,,011-664-4141,株式会社里平産業,代表取締役,里平茂晴,札手保衛許可（旅）第1号,1982-07-27,
342,旅館・ホテル,ホテル　リーベ　モア,北海道札幌市手稲区富丘３条１丁目８－１８,,011-691-6620,成和地所株式会社,代表取締役,遠藤晃仁,札保環許可（旅）第11号,2007-09-28,
343,旅館・ホテル,ホテルリーベ　イヴ,北海道札幌市手稲区富丘３条１丁目８－２０,,011-682-0211,株式会社晃琳,代表取締役,遠藤晃,札手保衛許可（旅）第2号,1983-05-02,
344,旅館・ホテル,ホテルナナ,北海道札幌市手稲区富丘４条１丁目１－２０,,011-683-7311,株式会社マルマン,代表取締役,田村勇二,札手保衛許可（旅）第1号,1986-03-01,
